,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,,,,,,,,,g1-elephant,g1-mice,g2-elephant,g2-mice
1,9.95,9.95333333333333,9.96333333333333,9.95666666666667,9.94666666666667,9.94666666666667,9.93333333333333,9.95,9.93666666666667,9.95333333333333,9.93666666666667,9.93,9.94666666666667,9.95333333333333,9.95,9.94,39.6966666666667,39.9033333333334,39.6533333333333,39.8933333333334
2,9.94666666666667,9.95,9.94666666666667,9.95,9.94666666666667,9.94666666666667,9.95,9.96333333333334,9.95666666666667,9.94666666666667,9.96333333333334,9.95,9.95,9.94,9.95333333333333,9.95666666666667,39.7133333333333,39.8866666666667,39.6966666666667,39.92
3,9.95333333333333,9.96,9.95333333333333,9.95,9.95333333333333,9.95333333333333,9.94333333333333,9.94333333333333,9.94333333333334,9.94666666666667,9.93333333333333,9.93666666666667,9.93,9.94333333333333,9.94666666666667,9.95333333333333,39.7533333333334,39.8566666666667,39.63,39.9033333333333
4,9.95666666666667,9.95333333333333,9.95333333333333,9.94666666666667,9.96,9.95333333333333,9.96,9.95333333333333,9.95333333333333,9.95,9.95,9.95,9.94666666666667,9.95333333333333,9.97333333333333,9.95666666666667,39.7066666666666,39.93,39.68,39.9533333333333
5,9.94333333333334,9.94,9.92666666666667,9.94333333333333,9.94666666666667,9.95,9.95,9.95,9.95333333333333,9.94333333333334,9.94666666666667,9.95333333333333,9.96,9.96666666666667,9.95,9.94666666666667,39.6466666666667,39.9033333333334,39.64,39.98
6,9.89666666666667,9.94666666666667,9.95333333333333,9.95,9.87666666666667,9.95333333333333,9.95,9.95333333333333,9.89333333333333,9.59,9.59666666666667,9.63333333333333,9.92333333333333,9.61,9.60666666666667,9.63666666666667,41.6033333333333,37.8766666666666,41.8966666666667,35.5933333333334
7,10.9633333333333,9.45,9.95,9.44333333333333,10.9466666666667,9.44333333333333,9.94,9.45,11.1933333333333,9.17,9.6,9.11,11.1866666666667,9.2,9.64666666666667,9.19666666666667,41.5066666666667,38.08,41.8433333333333,36.46
8,11.7366666666667,9.08333333333333,9.82666666666667,9.11,11.7,9.09666666666667,9.83333333333333,9.10666666666667,12.2366666666667,8.82,9.69666666666667,8.79333333333333,12.2033333333333,8.79666666666667,9.67666666666667,8.79333333333333,42.09,37.4033333333333,43.0433333333334,35.9733333333333
9,12.4133333333333,8.87666666666667,9.70333333333333,8.85333333333333,12.47,8.86333333333333,9.70333333333333,8.88333333333333,13.19,8.44666666666667,9.66333333333333,8.45666666666667,13.1466666666667,8.43333333333333,9.69333333333333,8.45,42.0533333333333,37.7133333333333,41.91,37.57
10,12.8566666666667,8.68,9.53666666666667,8.65666666666667,12.8666666666667,8.67,9.54333333333333,8.68,13.12,8.59,9.43333333333333,8.61,13.0866666666667,8.58,9.43,8.59666666666667,42.1666666666667,37.3233333333333,40.9166666666667,38.53
11,12.96,8.34333333333333,9.21666666666667,8.34333333333333,12.98,8.41,9.15,8.35,13.11,8.7,9.29333333333333,8.71333333333333,13.14,8.7,9.30333333333333,8.70333333333333,41.8333333333334,35.92,40.7633333333333,38.9
12,13.7333333333333,8.44666666666667,9.19333333333333,8.44333333333333,13.7266666666667,8.46333333333333,9.21,8.44,13.12,8.76666666666667,9.15666666666667,8.76,13.1066666666667,8.77333333333333,9.16666666666667,8.75333333333333,42.3733333333334,37.2833333333333,40.9166666666666,38.6866666666667
13,14.04,8.35,9.03,8.33666666666667,14.04,8.35666666666667,9.06333333333333,8.35666666666667,13.1133333333333,8.79,9.09333333333333,8.77666666666667,13.0966666666667,8.76333333333333,9.06666666666667,8.76666666666667,43.25,36.3233333333333,40.57,38.8966666666666
14,14.27,8.29666666666667,8.90333333333333,8.31333333333333,14.29,8.28666666666667,8.92,8.33,13.1,8.80666666666667,9,8.81666666666667,13.1033333333333,8.83333333333333,9.01,8.82,42.3133333333334,37.2966666666667,41.43,38.06
15,14.5166666666667,8.25666666666667,8.78333333333333,8.25666666666667,14.5333333333333,8.25666666666667,8.78,8.23666666666667,13.1233333333333,8.87,9,8.84,13.1066666666667,8.86666666666667,8.98,8.84666666666667,41.9533333333333,37.6666666666667,41.2766666666667,38.3566666666667
16,14.6366666666667,8.15333333333333,8.65333333333333,8.18333333333333,14.6533333333333,8.18666666666667,8.68,8.20666666666667,13.16,8.84,8.94,8.85333333333333,13.1466666666667,8.82,8.95333333333333,8.82,43.6766666666667,35.6766666666667,41.1366666666666,38.3966666666667
17,14.7033333333333,8.06333333333333,8.47666666666667,8.03333333333333,14.7133333333333,7.98666666666667,8.45333333333333,8.03666666666667,13.1533333333333,8.82333333333333,8.92666666666667,8.81,13.11,8.84,8.88666666666667,8.82333333333333,43.0033333333333,35.4633333333334,41.4666666666667,37.9066666666666
18,14.9866666666667,8.10666666666667,8.48666666666667,8.14333333333333,15.0233333333333,8.11333333333333,8.53,8.16333333333333,13.1866666666667,8.85,8.90666666666667,8.86,13.2133333333333,8.84333333333333,8.91666666666667,8.86333333333333,41.5866666666666,37.9666666666667,40.8066666666667,38.8333333333334
