,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,g1-elephant,g1-mice,g2-elephant,g2-mice
1,9.77666666666667,9.89333333333333,9.92666666666667,9.90333333333333,9.81666666666667,9.91,9.92333333333333,9.92666666666667,19.67,19.83,19.7266666666667,19.85
2,9.84,9.88333333333333,9.92333333333333,9.91333333333333,9.85,9.88333333333333,9.93333333333333,9.9,19.7233333333333,19.8366666666667,19.7333333333333,19.8333333333333
3,9.96666666666667,9.93333333333333,9.93333333333333,9.92666666666667,9.95666666666667,9.92,9.92,9.94,19.9,19.86,19.8766666666667,19.86
4,9.95,9.94,9.93666666666667,9.94,9.95666666666667,9.94333333333333,9.94,9.94,19.89,19.8766666666667,19.9,19.88
5,9.94666666666667,9.94333333333333,9.92666666666667,9.94666666666667,9.94333333333334,9.94333333333333,9.94666666666667,9.94,19.89,19.8733333333333,19.8866666666667,19.8866666666667
6,9.88333333333333,9.93666666666667,9.84,9.83666666666667,9.92666666666667,9.93,9.87666666666667,9.86,19.82,19.6766666666667,19.8566666666667,19.7366666666667
7,10.7666666666667,10.2,9.43,9.20333333333333,10.5333333333333,10.2,9.45,9.19666666666667,20.9666666666667,18.6333333333333,20.7333333333333,18.6466666666667
8,11.8333333333333,10.4,8.99,8.58333333333333,11.7333333333333,10.4,8.99,8.58333333333333,22.2333333333333,17.5733333333333,22.1333333333333,17.5733333333333
9,12.5666666666667,10.4,8.57333333333333,8.07,12.6,10.5333333333333,8.57,8.06666666666667,22.9666666666667,16.6433333333333,23.1333333333333,16.6366666666667
10,13.2666666666667,10.4,8.18333333333333,7.63,13.1,10.7666666666667,8.19333333333333,7.73,23.6666666666667,15.8133333333333,23.8666666666667,15.9233333333333
11,13.8,10.4,7.82,7.24333333333333,13.4666666666667,10.9,7.85666666666667,7.42666666666667,24.2,15.0633333333333,24.3666666666667,15.2833333333333
12,14.5,10.4,7.52,6.93333333333333,13.9666666666667,11.1,7.58666666666667,7.19,24.9,14.4533333333333,25.0666666666667,14.7766666666667
13,15,10.4,7.23,6.66333333333333,14.3,11.2,7.34,6.97666666666667,25.4,13.8933333333333,25.5,14.3166666666667
14,15.3,10.4,6.97,6.43333333333333,14.5666666666667,11.3,7.13,6.79333333333333,25.7,13.4033333333333,25.8666666666667,13.9233333333333
15,15.7666666666667,10.4,6.74,6.22,14.8666666666667,11.3,6.94,6.63666666666667,26.1666666666667,12.96,26.1666666666667,13.5766666666667
16,15.9,10.4,6.53666666666667,6.04666666666667,15.0666666666667,11.4,6.79666666666667,6.49666666666667,26.3,12.5833333333333,26.4666666666667,13.2933333333333
17,16.3,10.4,6.35,5.88666666666667,15.2666666666667,11.4333333333333,6.64333333333333,6.37333333333333,26.7,12.2366666666667,26.7,13.0166666666667
18,16.2666666666667,10.4,6.18333333333333,5.76666666666667,15.4,11.4666666666667,6.55333333333333,6.28333333333333,26.6666666666667,11.95,26.8666666666667,12.8366666666667
